Loading inference model from files models/output_graph.pbLoaded inference model in 0.21s.# File (10_A_1.wav):
# File (10_D_3.wav):
# - 2.4349375 seconds long.
# - actual    text: 'remind me of the tennis training tonight at five'
# - processed text: 'remind me of the tennist traning to night at five'
# - processed in 2.492 seconds.
# - WER = 0.444
# File (10_D_4.wav):
# - 1.576875 seconds long.
# - actual    text: 'cancel all my timers'
# - processed text: 'cancl all my time ors'
# - processed in 1.615 seconds.
# - WER = 0.75
# File (10_D_5.wav):
# - 0.798625 seconds long.
# - actual    text: 'what's the date'
# - processed text: 'what's the date'
# - processed in 0.844 seconds.
# - WER = 0.0
# File (10_D_6.wav):
# - 1.7664375 seconds long.
# - actual    text: 'when is easter sunday this year'
# - processed text: 'when us e sir sunday tes year'
# - processed in 1.804 seconds.
# - WER = 0.667
# File (10_E_1.wav):
# - 2.115625 seconds long.
# - actual    text: 'add milk and cheese to my shopping list'
# - processed text: 'at mol and cheese to my shopping less'
# - processed in 2.193 seconds.
# - WER = 0.375
# File (10_E_2.wav):
# - 1.39725 seconds long.
# - actual    text: 'create a new appointment'
# - processed text: 'frade in ou apointment'
# - processed in 1.415 seconds.
# - WER = 1.0
# File (10_E_3.wav):
# - 4.769625 seconds long.
# - actual    text: 'put doctor smith on my calendar for nineteenth of july at five pm'
# - processed text: 'put doctors nouth on my callender for a nineteenth of july at five pm'
# - processed in 5.078 seconds.
# - WER = 0.308
# File (10_E_4.wav):
# - 2.6943125 seconds long.
# - actual    text: 'remind me to mow the lawn next saturday'
# - processed text: 'relaned me to lnode a lown  next ceturday'
# - processed in 2.736 seconds.
# - WER = 0.625
# File (10_E_5.wav):
# - 2.1855 seconds long.
# - actual    text: 'what reminders do i have for this weekend'
# - processed text: 'wat reminders to have for this weekend'
# - processed in 2.234 seconds.
# - WER = 0.375
# File (10_F_1.wav):
# - 2.0956875 seconds long.
# - actual    text: 'give me articles about politics'
# - processed text: 'givmin orticle about politics'
# - processed in 2.13 seconds.
# - WER = 0.6
# File (10_F_2.wav):
# - 0.95825 seconds long.
# - actual    text: 'tell me the news'
# - processed text: 'tom vo us'
# - processed in 0.957 seconds.
# - WER = 1.0
# File (10_F_3.wav):
# - 1.457125 seconds long.
# - actual    text: 'what happened today'
# - processed text: 'what happened to day'
# - processed in 1.465 seconds.
# - WER = 0.667
# File (10_F_4.wav):
# - 1.8861875 seconds long.
# - actual    text: 'which news topics are available'
# - processed text: 'rhich news topics are wailable'
# - processed in 1.89 seconds.
# - WER = 0.4
# File (10_F_5.wav):
# - 2.9338125 seconds long.
# - actual    text: 'set business as preferred news category'
# - processed text: 'seit business as preferred news category'
# - processed in 2.997 seconds.
# - WER = 0.167
# File (10_F_6.wav):
# - 1.457125 seconds long.
# - actual    text: 'how does the news skill work'
# - processed text: 'how doesinu skiverg'
# - processed in 1.469 seconds.
# - WER = 0.833
# File (10_F_7.wav):
# - 1.8263125 seconds long.
# - actual    text: 'will it rain today in manchester'
# - processed text: 'witl a rain to day and manchesther'
# - processed in 1.852 seconds.
# - WER = 1.0
# File (10_F_8.wav):
# - 2.2054375 seconds long.
# - actual    text: 'what's the weather going to be like on sunday'
# - processed text: 'what's the wether going to be like on sunday'
# - processed in 2.263 seconds.
# - WER = 0.1
# File (10_F_9.wav):
# - 2.015875 seconds long.
# - actual    text: 'do i need an umbrella tomorrow'
# - processed text: 'during e done umbrella to morrow'
# - processed in 2.063 seconds.
# - WER = 1.0
# File (10_G_1.wav):
# - 2.9836875 seconds long.
# - actual    text: 'how long does it take from london to liverpool by car'
# - processed text: 'how long does it take from london to liver prool by car'
# - processed in 3.072 seconds.
# - WER = 0.182
# File (10_G_2.wav):
# - 3.1333125 seconds long.
# - actual    text: 'set my location to kennington road four in london'
# - processed text: 'sait my location to canninkan roade for an london'
# - processed in 3.186 seconds.
# - WER = 0.556
# File (10_G_3.wav):
# - 1.5569375 seconds long.
# - actual    text: 'i need help with navigation'
# - processed text: 'i eat help of mavigation'
# - processed in 1.572 seconds.
# - WER = 0.6
# File (10_G_4.wav):
# - 2.50475 seconds long.
# - actual    text: 'what restaurants are within five kilometres'
# - processed text: 'whateresrans are within five culometers'
# - processed in 2.559 seconds.
# - WER = 0.5
# File (10_G_5.wav):
# - 2.784125 seconds long.
# - actual    text: 'how far is it to the university of oxford'
# - processed text: 'how far as it to the university of oxfort'
# - processed in 2.82 seconds.
# - WER = 0.222
# File (10_G_6.wav):
# - 4.101125 seconds long.
# - actual    text: 'how long does it take from buckingham palace to tower of london on foot'
# - processed text: 'how long is it take from bucking him palace to tower of landon on foot'
# - processed in 4.252 seconds.
# - WER = 0.286
# File (10_G_7.wav):
# - 2.017625 seconds long.
# - actual    text: 'find me a burger restaurant nearby'
# - processed text: 'find me a burner esaront heareby'
# - processed in 2.039 seconds.
# - WER = 0.5
# File (10_G_8.wav):
# - 2.495625 seconds long.
# - actual    text: 'what's the address of the nearest tesco store'
# - processed text: 'was the address of the nearest tashcus store'
# - processed in 2.554 seconds.
# - WER = 0.333
# File (10_H_1.wav):
# - 1.693125 seconds long.
# - actual    text: 'how many feet are in a mile'
# - processed text: 'how many feet are in a mile'
# - processed in 1.717 seconds.
# - WER = 0.0
# File (10_H_2.wav):
# - 1.8761875 seconds long.
# - actual    text: 'what's seven times forty four'
# - processed text: 'what seven times forty four'
# - processed in 1.898 seconds.
# - WER = 0.167
# File (10_H_3.wav):
# - 2.9138125 seconds long.
# - actual    text: 'what's two hundred twenty five divided by five'
# - processed text: 'what's to hundred twenty five you ited by five'
# - processed in 3.008 seconds.
# - WER = 0.333
# File (10_H_4.wav):
# - 2.7641875 seconds long.
# - actual    text: 'what's fifteen percent of one hundred and twenty eight'
# - processed text: 'what's fifteen per cent of one hundred and twenty eight'
# - processed in 2.863 seconds.
# - WER = 0.2
# File (10_H_5.wav):
# - 2.8819375 seconds long.
# - actual    text: 'is three hundred and thirty seven a prime number'
# - processed text: 'is free hundred and thirty seven a frime number'
# - processed in 2.956 seconds.
# - WER = 0.222
# File (10_I_1.wav):
# - 1.8661875 seconds long.
# - actual    text: 'what's the definition of cat'
# - processed text: 'what's the definition of cat'
# - processed in 1.875 seconds.
# - WER = 0.0
# File (10_I_2.wav):
# - 1.7265 seconds long.
# - actual    text: 'what does to share mean'
# - processed text: 'what doust to share me'
# - processed in 1.74 seconds.
# - WER = 0.4
# File (10_I_3.wav):
# - 1.367375 seconds long.
# - actual    text: 'how do you spell date'
# - processed text: 'how do you spele date'
# - processed in 1.377 seconds.
# - WER = 0.2
# File (10_I_4.wav):
# - 1.896125 seconds long.
# - actual    text: 'tell me words that start with an a'
# - processed text: 'tell you are t tat stark with a nay'
# - processed in 1.915 seconds.
# - WER = 0.875
# File (10_I_5.wav):
# - 2.4948125 seconds long.
# - actual    text: 'which words contain c o n'
# - processed text: 'which merds contain se o n'
# - processed in 2.522 seconds.
# - WER = 0.333
# File (10_I_6.wav):
# - 1.507 seconds long.
# - actual    text: 'can you translate cat'
# - processed text: 'can weu translate cat'
# - processed in 1.52 seconds.
# - WER = 0.25
# File (10_I_7.wav):
# - 1.5569375 seconds long.
# - actual    text: 'what is dog in german'
# - processed text: 'what is talk in german'
# - processed in 1.566 seconds.
# - WER = 0.2
# File (10_I_8.wav):
# - 3.0235625 seconds long.
# - actual    text: 'set the number of words for translations to three'
# - processed text: 'set the number of mirds for translations to free'
# - processed in 3.11 seconds.
# - WER = 0.222
# File (10_I_9.wav):
# - 1.85625 seconds long.
# - actual    text: 'what is another word for dashboard'
# - processed text: 'what is anether word for  gashboart'
# - processed in 1.887 seconds.
# - WER = 0.333
# File (10_J_1.wav):
# - 1.9759375 seconds long.
# - actual    text: 'turn on the living room lights please'
# - processed text: 'turn on the living room lights please'
# - processed in 2.034 seconds.
# - WER = 0.0
# File (10_J_2.wav):
# - 2.893875 seconds long.
# - actual    text: 'set the temperature in the kitchen to twenty two degrees'
# - processed text: 'sat the temperature and the kitchen to tueny twodygrees'
# - processed in 2.978 seconds.
# - WER = 0.5
# File (10_J_3.wav):
# - 1.9759375 seconds long.
# - actual    text: 'set the shutters to fifty percent'
# - processed text: 'sat the shutters to fifty percent'
# - processed in 2.024 seconds.
# - WER = 0.167
# File (10_J_4.wav):
# - 1.7365 seconds long.
# - actual    text: 'please lower the blinds by half'
# - processed text: 'please lowered blinds by half'
# - processed in 1.772 seconds.
# - WER = 0.333
# File (10_K_1.wav):
# - 1.4471875 seconds long.
# - actual    text: 'how old is queen elizabeth'
# - processed text: 'how old is creen of izabeth'
# - processed in 1.459 seconds.
# - WER = 0.6
# File (10_K_10.wav):
# - 1.1079375 seconds long.
# - actual    text: 'do you like to travel'
# - processed text: 'do you like to travel'
# - processed in 1.119 seconds.
# - WER = 0.0
# File (10_K_11.wav):
# - 1.517 seconds long.
# - actual    text: 'what kind of music do you like'
# - processed text: 'what kind of music do you like'
# - processed in 1.539 seconds.
# - WER = 0.0
# File (10_K_2.wav):
# - 1.7564375 seconds long.
# - actual    text: 'how many people live in australia'
# - processed text: 'huw man  people liv in oustralio'
# - processed in 1.788 seconds.
# - WER = 0.667
# File (10_K_3.wav):
# - 1.6666875 seconds long.
# - actual    text: 'what's the height of the eiffel tower'
# - processed text: 'what's the hight of the ifel tower'
# - processed in 1.713 seconds.
# - WER = 0.25
# File (10_K_4.wav):
# - 1.566875 seconds long.
# - actual    text: 'how long is the river danube'
# - processed text: 'how long is the river the new'
# - processed in 1.578 seconds.
# - WER = 0.333
# File (10_K_5.wav):
# - 2.355125 seconds long.
# - actual    text: 'how tall is the tallest mountain in the alps'
# - processed text: 'how torlis the talest now tin in yelps'
# - processed in 2.396 seconds.
# - WER = 0.778
# File (10_K_6.wav):
# - 2.245375 seconds long.
# - actual    text: 'which movies did tom cruise play in'
# - processed text: 'which movvies that tontrus play am'
# - processed in 2.254 seconds.
# - WER = 0.714
# File (10_K_7.wav):
# - 1.18775 seconds long.
# - actual    text: 'what do you dream about'
# - processed text: 'what do you dream about'
# - processed in 1.217 seconds.
# - WER = 0.0
# File (10_K_8.wav):
# - 1.2675625 seconds long.
# - actual    text: 'what's your favourite colour'
# - processed text: 'what's your favorite color'
# - processed in 1.27 seconds.
# - WER = 0.4
# File (10_K_9.wav):
# - 1.8263125 seconds long.
# - actual    text: 'what do you do when i'm not at home'
# - processed text: 'what do you dou hen i'm not at home'
# - processed in 1.843 seconds.
# - WER = 0.2
# File (11_A_1.wav):
# - 1.9460625 seconds long.
# - actual    text: 'athena turn on the lights'
# - processed text: 'uf theng an turn on the lights'
# - processed in 1.986 seconds.
# - WER = 0.6
# File (11_A_2.wav):
# - 1.9859375 seconds long.
# - actual    text: 'minerva turn on the lights'
# - processed text: 'meaner tat turn on the light'
# - processed in 2.027 seconds.
# - WER = 0.6
# File (11_A_3.wav):
# - 2.235375 seconds long.
# - actual    text: 'artemis turn on the lights'
# - processed text: 'a jimans turn on light'
# - processed in 2.25 seconds.
# - WER = 0.8
# File (11_A_4.wav):
# - 2.025875 seconds long.
# - actual    text: 'freya turn on the lights'
# - processed text: 'ray ah sun on the lights'
# - processed in 2.044 seconds.
# - WER = 0.6
# File (11_A_5.wav):
# - 1.9460625 seconds long.
# - actual    text: 'james turn on the lights'
# - processed text: 'sames tun on the lights'
# - processed in 1.973 seconds.
# - WER = 0.4
# File (11_A_6.wav):
# - 1.9759375 seconds long.
# - actual    text: 'computer turn on the lights'
# - processed text: 'computeer turn on the light'
# - processed in 2.006 seconds.
# - WER = 0.4
# File (11_B_1.wav):
# - 2.1460625 seconds long.
# - actual    text: 'mute unmute'
# - processed text: 'mute and muted'
# - processed in 2.138 seconds.
# - WER = 1.0
# File (11_B_2.wav):
# - 1.88225 seconds long.
# - actual    text: 'stop abort'
# - processed text: 'stoping a bat'
# - processed in 1.868 seconds.
# - WER = 1.5
# File (11_B_3.wav):
# - 1.5469375 seconds long.
# - actual    text: 'pause resume'
# - processed text: 'hass ressumed'
# - processed in 1.526 seconds.
# - WER = 1.0
# File (11_B_4.wav):
# - 1.4870625 seconds long.
# - actual    text: 'next back'
# - processed text: 'next back'
# - processed in 1.49 seconds.
# - WER = 0.0
# File (11_B_5.wav):
# - 0.73875 seconds long.
# - actual    text: 'louder'
# - processed text: 'louder'
# - processed in 0.751 seconds.
# - WER = 0.0
# File (11_B_6.wav):
# - 1.457125 seconds long.
# - actual    text: 'turn the volume down'
# - processed text: 'turn the volums houn'
# - processed in 1.47 seconds.
# - WER = 0.5
# File (11_B_7.wav):
# - 1.83625 seconds long.
# - actual    text: 'set volume to six'
# - processed text: 'set the rornim to thix'
# - processed in 1.842 seconds.
# - WER = 0.75
# File (11_C_1.wav):
# - 2.8645625 seconds long.
# - actual    text: 'play some music by bon jovi'
# - processed text: 'lay some music byponchobi'
# - processed in 2.881 seconds.
# - WER = 0.667
# File (11_C_2.wav):
# - 3.0179375 seconds long.
# - actual    text: 'play my eighties rock playlist now'
# - processed text: 'play my aightees roc playlest now'
# - processed in 3.048 seconds.
# - WER = 0.5
# File (11_C_3.wav):
# - 2.577875 seconds long.
# - actual    text: 'what song is currently playing'
# - processed text: 'wots sung as currently plaging'
# - processed in 2.617 seconds.
# - WER = 0.8
# File (11_C_4.wav):
# - 2.452125 seconds long.
# - actual    text: 'please add this song to my favourites'
# - processed text: 'liss at this song too my favorites'
# - processed in 2.492 seconds.
# - WER = 0.571
# File (11_C_5.wav):
# - 2.29525 seconds long.
# - actual    text: 'what can i do with the music skill'
# - processed text: 'what can i do with the music scor'
# - processed in 2.352 seconds.
# - WER = 0.125
# File (11_D_1.wav):
# - 2.993625 seconds long.
# - actual    text: 'set an alarm for five am please'
# - processed text: 'sait on allam replied a mplease'
# - processed in 3.013 seconds.
# - WER = 1.0
# File (11_D_2.wav):
# - 2.7455625 seconds long.
# - actual    text: 'how much time is left on my pizza timer'
# - processed text: 'how much time as left on my patset i  ma'
# - processed in 2.793 seconds.
# - WER = 0.444
# File (11_D_3.wav):
# - 3.765125 seconds long.
# - actual    text: 'remind me of the tennis training tonight at five'
# - processed text: 'remind me of the tennis straining to night adfive'
# - processed in 3.829 seconds.
# - WER = 0.444
# File (11_D_4.wav):
# - 1.7764375 seconds long.
# - actual    text: 'cancel all my timers'
# - processed text: 'canser or my time must'
# - processed in 1.793 seconds.
# - WER = 1.0
# File (11_D_5.wav):
# - 1.17775 seconds long.
# - actual    text: 'what's the date'
# - processed text: 'what's the daves'
# - processed in 1.184 seconds.
# - WER = 0.25
# File (11_D_6.wav):
# - 2.6444375 seconds long.
# - actual    text: 'when is easter sunday this year'
# - processed text: 'when is ista sunday the yer'
# - processed in 2.669 seconds.
# - WER = 0.5
# File (11_E_1.wav):
# - 2.54075 seconds long.
# - actual    text: 'add milk and cheese to my shopping list'
# - processed text: 'ad muk an shese to myshalpinglest'
# - processed in 2.558 seconds.
# - WER = 0.875
# File (11_E_2.wav):
# - 1.8163125 seconds long.
# - actual    text: 'create a new appointment'
# - processed text: 'dreate and muareppointments'
# - processed in 1.829 seconds.
# - WER = 1.0
# File (11_E_3.wav):
# - 7.067125 seconds long.
# - actual    text: 'put doctor smith on my calendar for ninetieth of july at five pm'
# - processed text: 'whot doctor smite on my palanda for ninety of twu ly ad fyve he em'
# - processed in 7.197 seconds.
# - WER = 0.769
# File (11_E_4.wav):
# - 4.649875 seconds long.
# - actual    text: 'remind me to mow the lawn next saturday'
# - processed text: 'remind me ab seror mol her long next setturday'
# - processed in 4.691 seconds.
# - WER = 0.75
# File (11_E_5.wav):
# - 3.4226875 seconds long.
# - actual    text: 'what reminders do i have for this weekend'
# - processed text: 'want ro lind us through i have fal this weekemds'
# - processed in 3.536 seconds.
# - WER = 0.875
# File (11_F_1.wav):
# - 2.28525 seconds long.
# - actual    text: 'give me articles about politics'
# - processed text: 'life me up tlacers about politics'
# - processed in 2.326 seconds.
# - WER = 0.6
# File (11_F_2.wav):
# - 1.347375 seconds long.
# - actual    text: 'tell me the news'
# - processed text: 'so me then youth'
# - processed in 1.358 seconds.
# - WER = 0.75
# File (11_F_3.wav):
# - 1.7465 seconds long.
# - actual    text: 'what happened today'
# - processed text: 'what's hapened today'
# - processed in 1.748 seconds.
# - WER = 0.667
# File (11_F_4.wav):
# - 2.3655 seconds long.
# - actual    text: 'which news topics are available'
# - processed text: 'which news topics are veilable'
# - processed in 2.388 seconds.
# - WER = 0.2
# File (11_F_5.wav):
# - 4.3305 seconds long.
# - actual    text: 'set business as preferred news category'
# - processed text: 'said physiness asked profared mules hedregary'
# - processed in 4.336 seconds.
# - WER = 1.0
# File (11_F_6.wav):
# - 2.7143125 seconds long.
# - actual    text: 'how does the news skill work'
# - processed text: 'how dos that mus gorack'
# - processed in 2.713 seconds.
# - WER = 0.833
# File (11_F_7.wav):
# - 2.3969375 seconds long.
# - actual    text: 'will it rain today in manchester'
# - processed text: 'were a drain so day and mentcesta'
# - processed in 2.437 seconds.
# - WER = 1.167
# File (11_F_8.wav):
# - 3.416125 seconds long.
# - actual    text: 'what's the weather going to be like on sunday'
# - processed text: 'wats the weather growing to he thike consonnay'
# - processed in 3.512 seconds.
# - WER = 0.7
# File (11_F_9.wav):
# - 2.5464375 seconds long.
# - actual    text: 'do i need an umbrella tomorrow'
# - processed text: 'addr i needs an umrella tomorrow'
# - processed in 2.568 seconds.
# - WER = 0.5
# File (11_G_1.wav):
# - 3.4790625 seconds long.
# - actual    text: 'how long does it take from london to liverpool by car'
# - processed text: 'how long does it take from london to live appro by car'
# - processed in 3.551 seconds.
# - WER = 0.182
# File (11_G_2.wav):
# - 4.5479375 seconds long.
# - actual    text: 'set my location to kennington road four in london'
# - processed text: 'said my location to kenningon rod quire in london'
# - processed in 4.638 seconds.
# - WER = 0.444
# File (11_G_3.wav):
# - 2.4948125 seconds long.
# - actual    text: 'i need help with navigation'
# - processed text: 'i need hele with my bidation'
# - processed in 2.51 seconds.
# - WER = 0.6
# File (11_G_4.wav):
# - 3.5324375 seconds long.
# - actual    text: 'what restaurants are with five kilometres'
# - processed text: 'what reserounds ar rip pife killemetrons'
# - processed in 3.592 seconds.
# - WER = 0.833
# File (11_G_5.wav):
# - 3.273 seconds long.
# - actual    text: 'how far is it to the university of oxford'
# - processed text: 'how far is it to the university of hoxfort'
# - processed in 3.379 seconds.
# - WER = 0.111
# File (11_G_6.wav):
# - 4.6798125 seconds long.
# - actual    text: 'how long does it take from buckingham palace to tower of london on foot'
# - processed text: 'ho long os it take from backing and pellase to toer of long dom on fo'
# - processed in 4.807 seconds.
# - WER = 0.643
# File (11_G_7.wav):
# - 2.444875 seconds long.
# - actual    text: 'find me a burger restaurant nearby'
# - processed text: 'find me a bogarestaront nearby'
# - processed in 2.458 seconds.
# - WER = 0.333
# File (11_G_8.wav):
# - 3.8018125 seconds long.
# - actual    text: 'what's the address of the nearest tesco score'
# - processed text: 'whas the address of the nearest tescol's gof'
# - processed in 3.859 seconds.
# - WER = 0.556
# File (11_H_1.wav):
# - 1.7891875 seconds long.
# - actual    text: 'how many feet are in a mile'
# - processed text: 'how many pe ion a mio'
# - processed in 1.797 seconds.
# - WER = 0.571
# File (11_H_2.wav):
# - 2.8240625 seconds long.
# - actual    text: 'what's seven times forty four'
# - processed text: 'what seven times what he fare'
# - processed in 2.857 seconds.
# - WER = 0.667
# File (11_H_3.wav):
# - 2.8333125 seconds long.
# - actual    text: 'what's two hundred twenty five divided by five'
# - processed text: 'what's to hundred twenty five to vie e by side'
# - processed in 2.896 seconds.
# - WER = 0.556
# File (11_H_4.wav):
# - 4.2358125 seconds long.
# - actual    text: 'what's fifteen percent of one hundred twenty eight'
# - processed text: 'wots fifteen percent of one hundred twenty eight'
# - processed in 4.557 seconds.
# - WER = 0.222
# File (11_H_5.wav):
# - 3.437125 seconds long.
# - actual    text: 'is three hundred thirty seven a prime number'
# - processed text: 'is dree hundred therty seven aprime number'
# - processed in 3.504 seconds.
# - WER = 0.5
# File (11_I_1.wav):
# - 2.5495 seconds long.
# - actual    text: 'what's the definition of cat'
# - processed text: 'wes ther fenision of cat'
# - processed in 2.56 seconds.
# - WER = 0.667
# File (11_I_2.wav):
# - 2.3473125 seconds long.
# - actual    text: 'what does to share mean'
# - processed text: 'what us to sham min'
# - processed in 2.362 seconds.
# - WER = 0.6
# File (11_I_3.wav):
# - 2.577875 seconds long.
# - actual    text: 'how do you spell date'
# - processed text: 'ndhow je yous snell days'
# - processed in 2.599 seconds.
# - WER = 1.0
# File (11_I_4.wav):
# - 3.37425 seconds long.
# - actual    text: 'tell me words that start with an a'
# - processed text: 'sa  mear weres that star withen a'
# - processed in 3.435 seconds.
# - WER = 0.75
# File (11_I_5.wav):
# - 3.7095625 seconds long.
# - actual    text: 'which words contain c o n'
# - processed text: 'which weds containd sea o m'
# - processed in 3.731 seconds.
# - WER = 0.667
# File (11_I_6.wav):
# - 1.6566875 seconds long.
# - actual    text: 'can you translate cat'
# - processed text: 'can you francslate care'
# - processed in 1.677 seconds.
# - WER = 0.5
# File (11_I_7.wav):
# - 1.9285625 seconds long.
# - actual    text: 'what is dog in german'
# - processed text: 'what is stock an gemman'
# - processed in 1.934 seconds.
# - WER = 0.6
# File (11_I_8.wav):
# - 4.4221875 seconds long.
# - actual    text: 'set the number of words for translation to three'
# - processed text: 'said the number of worsh gar translation to cree'
# - processed in 4.501 seconds.
# - WER = 0.444
# File (11_I_9.wav):
# - 2.4943125 seconds long.
# - actual    text: 'what's another word for dashboard'
# - processed text: 'what's another word for a dash bod'
# - processed in 2.531 seconds.
# - WER = 0.5
# File (11_J_1.wav):
# - 2.7665 seconds long.
# - actual    text: 'turn on the living room lights please'
# - processed text: 'ten on williaving room lights place'
# - processed in 2.797 seconds.
# - WER = 0.571
# File (11_J_2.wav):
# - 3.5823125 seconds long.
# - actual    text: 'set the temperature in the kitchen to twenty two degrees'
# - processed text: 'set the temperat shire in the kitchen to twenty two degrees'
# - processed in 3.883 seconds.
# - WER = 0.2
# File (11_J_3.wav):
# - 2.470375 seconds long.
# - actual    text: 'set the shutters to fifty percent'
# - processed text: 'that the shattes sto hifty person'
# - processed in 2.504 seconds.
# - WER = 0.833
# File (11_J_4.wav):
# - 2.29525 seconds long.
# - actual    text: 'please lower the blinds by half'
# - processed text: 'lis lower ge lines by holf'
# - processed in 2.337 seconds.
# - WER = 0.667
# File (11_K_1.wav):
# - 1.9460625 seconds long.
# - actual    text: 'how old is queen elizabeth'
# - processed text: 'how art es scueen an is thever'
# - processed in 1.966 seconds.
# - WER = 1.2
# File (11_K_10.wav):
# - 1.9071875 seconds long.
# - actual    text: 'do you like to travel'
# - processed text: 'do you like to travel'
# - processed in 1.914 seconds.
# - WER = 0.0
# File (11_K_11.wav):
# - 2.13775 seconds long.
# - actual    text: 'what kind of music do you like'
# - processed text: 'what kind of misic jo you like'
# - processed in 2.151 seconds.
# - WER = 0.286
# File (11_K_2.wav):
# - 2.0209375 seconds long.
# - actual    text: 'how many people live in australia'
# - processed text: 'how many people live in us tralia'
# - processed in 2.052 seconds.
# - WER = 0.333
# File (11_K_3.wav):
# - 2.997 seconds long.
# - actual    text: 'what's the height of the eiffel tower'
# - processed text: 'what's the high of the iflo of tower'
# - processed in 3.03 seconds.
# - WER = 0.375
# File (11_K_4.wav):
# - 2.7970625 seconds long.
# - actual    text: 'how long is the river danube'
# - processed text: 'how long is the river genee'
# - processed in 2.849 seconds.
# - WER = 0.167
# File (11_K_5.wav):
# - 3.437125 seconds long.
# - actual    text: 'how tall is the tallest mountain in the alp'
# - processed text: 'hord chald is ther toldes mountain in the our'
# - processed in 3.516 seconds.
# - WER = 0.556
# File (11_K_6.wav):
# - 2.6913125 seconds long.
# - actual    text: 'which movies did tom cruise play in'
# - processed text: 'with smovy stids tom cruth play on'
# - processed in 2.716 seconds.
# - WER = 0.714
# File (11_K_7.wav):
# - 2.074875 seconds long.
# - actual    text: 'what do you dream about'
# - processed text: 'whark dore you dream about'
# - processed in 2.102 seconds.
# - WER = 0.4
# File (11_K_8.wav):
# - 1.5718125 seconds long.
# - actual    text: 'what's your favourite colour'
# - processed text: 'wat su favorite collar'
# - processed in 1.576 seconds.
# - WER = 1.0
# File (11_K_9.wav):
# - 3.4790625 seconds long.
