Loading inference model from files models/output_graph.pbLoaded inference model in 0.259s.Loading language model from files models/alphabet.txt models/trieLoaded language model in 22.4s.# File (1089-134686-0000.flac):
# File (1089-134686-0029.flac):
# - 4.67 seconds long.
# - actual    text: 'on friday confession will be heard all the afternoon after beads'
# - processed text: 'on friday confession will be heard all the afternoon after beads'
# - processed in 26.393 seconds.
# - WER = 0.0
# File (1089-134686-0030.flac):
# - 2.715 seconds long.
# - actual    text: 'beware of making that mistake'
# - processed text: 'beware of making that mistake'
# - processed in 15.52 seconds.
# - WER = 0.0
# File (1089-134686-0031.flac):
# - 6.615 seconds long.
# - actual    text: 'stephen's heart began slowly to fold and fade with fear like a withering flower'
# - processed text: 'stephen's heart began slowly to fold and fade with fear like a withering flower'
# - processed in 37.374 seconds.
# - WER = 0.0
# File (1089-134686-0032.flac):
# - 4.09 seconds long.
# - actual    text: 'he is called as you know the apostle of the indies'
# - processed text: 'he is called as you know the apostle of the indies'
# - processed in 23.465 seconds.
# - WER = 0.0
# File (1089-134686-0033.flac):
# - 3.33 seconds long.
# - actual    text: 'a great saint saint francis xavier'
# - processed text: 'a great saint saint francis xavier'
# - processed in 18.802 seconds.
# - WER = 0.0
# File (1089-134686-0034.flac):
# - 5.81 seconds long.
# - actual    text: 'the rector paused and then shaking his clasped hands before him went on'
# - processed text: 'the rector paused and then shaking his clasped hands before him went on'
# - processed in 33.06 seconds.
# - WER = 0.0
# File (1089-134686-0035.flac):
# - 3.445 seconds long.
# - actual    text: 'he had the faith in him that moves mountains'
# - processed text: 'he had the faith in him that moves mountains'
# - processed in 19.374 seconds.
# - WER = 0.0
# File (1089-134686-0036.flac):
# - 3.25 seconds long.
# - actual    text: 'a great saint saint francis xavier'
# - processed text: 'a great saint saint francis xavier'
# - processed in 18.121 seconds.
# - WER = 0.0
# File (1089-134686-0037.flac):
# - 5.21 seconds long.
# - actual    text: 'in the silence their dark fire kindled the dusk into a tawny glow'
# - processed text: 'in the silence their dark fire kindled the dusk into a tawny glow'
# - processed in 29.644 seconds.
# - WER = 0.0
# File (1188-133604-0000.flac):
# - 10.725 seconds long.
# - actual    text: 'you will find me continually speaking of four men titian holbein turner and tintoret in almost the same terms'
# - processed text: 'you will find me continually speaking of four men titian holbein turner and then cut out in almost the same terms'
# - processed in 60.293 seconds.
# - WER = 0.158
# File (1188-133604-0001.flac):
# - 9.04 seconds long.
# - actual    text: 'they unite every quality and sometimes you will find me referring to them as colorists sometimes as chiaroscurists'
# - processed text: 'the united every quality and sometimes you will find me referring to them as colorists sometimes as cerceris'
# - processed in 51.152 seconds.
# - WER = 0.167
# File (1188-133604-0002.flac):
# - 17.96 seconds long.
# - actual    text: 'by being studious of color they are studious of division and while the chiaroscurist devotes himself to the representation of degrees of force in one thing unseparated light the colorists have for their function the attainment of beauty by arrangement of the divisions of light'
# - processed text: 'by being studious of color they are studious of division and while the cure scures devotes himself to the representation of degrees of force in one thing on separated light the colorists have for their function the attainment of beauty by arrangement of the divisions of light'
# - processed in 102.23 seconds.
# - WER = 0.089
# File (1188-133604-0003.flac):
# - 12.61 seconds long.
# - actual    text: 'my first and principal reason was that they enforced beyond all resistance on any student who might attempt to copy them this method of laying portions of distinct hue side by side'
# - processed text: 'my first and principal reason was that the enforced beyond all resistance on any student who might attempt to copy them this method of laying porsons of distinct huge side by side'
# - processed in 71.353 seconds.
# - WER = 0.094
# File (1188-133604-0004.flac):
# - 10.65 seconds long.
# - actual    text: 'some of the touches indeed when the tint has been mixed with much water have been laid in little drops or ponds so that the pigment might crystallize hard at the edge'
# - processed text: 'some of the touches indeed when the tenters been mixed with much water have been laid in little drops or pans so that the pigment might crystallise hard at the edge'
# - processed in 61.0 seconds.
# - WER = 0.125
# File (1188-133604-0005.flac):
# - 8.56 seconds long.
# - actual    text: 'it is the head of a parrot with a little flower in his beak from a picture of carpaccio's one of his series of the life of saint george'
# - processed text: 'does the head of a parrot with a little flowering his beak from a picture of capacious one of his series of the life of saint george'
# - processed in 48.465 seconds.
# - WER = 0.2
# File (1188-133604-0006.flac):
# - 2.4 seconds long.
# - actual    text: 'then he comes to the beak of it'
# - processed text: 'then he comes to the beak of it'
# - processed in 13.708 seconds.
# - WER = 0.0
# File (1188-133604-0007.flac):
# - 14.24 seconds long.
# - actual    text: 'the brown ground beneath is left for the most part one touch of black is put for the hollow two delicate lines of dark gray define the outer curve and one little quivering touch of white draws the inner edge of the mandible'
# - processed text: 'the brown ground beneath his left for the most part one touch of black is put for the hollow to dock at lines of dark gray to find the outer curve and one little quivering touch of white draws inter edge of the mandible'
# - processed in 81.685 seconds.
# - WER = 0.186
# File (1188-133604-0008.flac):
# - 20.755 seconds long.
# - actual    text: 'for believe me the final philosophy of art can only ratify their opinion that the beauty of a cock robin is to be red and of a grass plot to be green and the best skill of art is in instantly seizing on the manifold deliciousness of light which you can only seize by precision of instantaneous touch'
# - processed text: 'for believe me the final philosophy of art can only ratify their opinion that the beauty of a cock robin is to be read and of a grass plot to be green and the best skill of art is an instantly seizing on the men of full deliciousness of light which you can only see as by precision of instantaneous touch'
# - processed in 117.962 seconds.
# - WER = 0.121
# File (1188-133604-0009.flac):
# - 23.06 seconds long.
# - actual    text: 'now you will see in these studies that the moment the white is inclosed properly and harmonized with the other hues it becomes somehow more precious and pearly than the white paper and that i am not afraid to leave a whole field of untreated white paper all round it being sure that even the little diamonds in the round window will tell as jewels if they are gradated justly'
# - processed text: 'now you will see in these studies that the moment the whites and closed properly and harmonized with the other hues it becomes somehow more precious and pearly in the white paper and that i am not afraid to leave a whole field of untreated white paper all round it being sure that even the little diamonds in the round window will tell as jewels if they are gradated justly'
# - processed in 132.345 seconds.
# - WER = 0.057
# File (1188-133604-0010.flac):
# - 6.095 seconds long.
# - actual    text: 'but in this vignette copied from turner you have the two principles brought out perfectly'
# - processed text: 'but in this vine copied from turner you had the two principles brought out perfectly'
# - processed in 34.718 seconds.
# - WER = 0.133
# File (1188-133604-0011.flac):
# - 15.19 seconds long.
# - actual    text: 'they are beyond all other works that i know existing dependent for their effect on low subdued tones their favorite choice in time of day being either dawn or twilight and even their brightest sunsets produced chiefly out of gray paper'
# - processed text: 'they are beyond all other works than i now existing dependent for their effect on low subdued tones their favorite choice in time of day being either dawn or twilight and even their bright as sunsets produced chiefly out of gray paper'
# - processed in 85.695 seconds.
# - WER = 0.098
# File (1188-133604-0012.flac):
# - 14.65 seconds long.
# - actual    text: 'it may be that a great colorist will use his utmost force of color as a singer his full power of voice but loud or low the virtue is in both cases always in refinement never in loudness'
# - processed text: 'it may be that a great colourist will use his utmost force of color as a singer has full power of voice but loud or low the virtue is in both cases always in refinement never lowness'
# - processed in 83.193 seconds.
# - WER = 0.105
# File (1188-133604-0013.flac):
# - 3.02 seconds long.
# - actual    text: 'it must remember be one or the other'
# - processed text: 'it must remember be one or the other'
# - processed in 17.215 seconds.
# - WER = 0.0
# File (1188-133604-0014.flac):
# - 4.39 seconds long.
# - actual    text: 'do not therefore think that the gothic school is an easy one'
# - processed text: 'do not therefore think that the gothic schools needy one'
# - processed in 24.639 seconds.
# - WER = 0.333
# File (1188-133604-0015.flac):
# - 16.085 seconds long.
# - actual    text: 'the law of that school is that everything shall be seen clearly or at least only in such mist or faintness as shall be delightful and i have no doubt that the best introduction to it would be the elementary practice of painting every study on a golden ground'
# - processed text: 'the law of that school that everything shall be seen clearly or at least only in such mister faintness as shall be delightful and i have no doubt that the best introduction to it would be the elementary practice of painting every study on a golden ground'
# - processed in 92.493 seconds.
# - WER = 0.061
# File (1188-133604-0016.flac):
# - 16.595 seconds long.
# - actual    text: 'this at once compels you to understand that the work is to be imaginative and decorative that it represents beautiful things in the clearest way but not under existing conditions and that in fact you are producing jeweler's work rather than pictures'
# - processed text: 'this at once compels you to understand that the work is to be imaginative and decorative that it represents beautiful things in the clearest way but not under existing conditions and that in fact you are producing jewelers work rather than pictures'
# - processed in 94.768 seconds.
# - WER = 0.047
# File (1188-133604-0017.flac):
# - 4.615 seconds long.
# - actual    text: 'that a style is restrained or severe does not mean that it is also erroneous'
# - processed text: 'that a styles restrained or severe does not mean that it is also a unius'
# - processed in 26.287 seconds.
# - WER = 0.267
# File (1188-133604-0018.flac):
# - 11.5499375 seconds long.
# - actual    text: 'in all early gothic art indeed you will find failure of this kind especially distortion and rigidity which are in many respects painfully to be compared with the splendid repose of classic art'
# - processed text: 'in all early gothic art indeed you will find failure of this kind especially distortion and rigidity which are in many respects painfully to be compared with the splendid repose of classic art'
# - processed in 65.631 seconds.
# - WER = 0.0
# File (1188-133604-0019.flac):
# - 13.93 seconds long.
# - actual    text: 'the large letter contains indeed entirely feeble and ill drawn figures that is merely childish and failing work of an inferior hand it is not characteristic of gothic or any other school'
# - processed text: 'the large letter contains indeed entirely feeble and ill drawn figures that is merely childish and failing work of an effer hand it is not characteristic of gothic or any other school'
# - processed in 78.095 seconds.
# - WER = 0.031
# File (1188-133604-0020.flac):
# - 10.26 seconds long.
# - actual    text: 'but observe you can only do this on one condition that of striving also to create in reality the beauty which you seek in imagination'
# - processed text: 'but observe you can only do this on one condition that of striving also to create in reality the beauty which you see in imagination'
# - processed in 58.516 seconds.
# - WER = 0.04
# File (1188-133604-0021.flac):
# - 14.02 seconds long.
# - actual    text: 'it will be wholly impossible for you to retain the tranquillity of temper and felicity of faith necessary for noble purist painting unless you are actively engaged in promoting the felicity and peace of practical life'
# - processed text: 'it would be wholly impossible for you to retain the tranquillity of temper and felicity of faith necessary for noble purest painting unless you are actively engaged in promoting the felicity and peace of practical life'
# - processed in 79.557 seconds.
# - WER = 0.056
# File (1188-133604-0022.flac):
# - 9.63 seconds long.
# - actual    text: 'you must look at him in the face fight him conquer him with what scathe you may you need not think to keep out of the way of him'
# - processed text: 'you must look at him in the face fight him conquer him with what skate you may you need not think the keep out of the way of him'
# - processed in 54.374 seconds.
# - WER = 0.069
# File (1188-133604-0023.flac):
# - 23.67 seconds long.
# - actual    text: 'the colorist says first of all as my delicious paroquet was ruby so this nasty viper shall be black and then is the question can i round him off even though he is black and make him slimy and yet springy and close down clotted like a pool of black blood on the earth all the same'
# - processed text: 'the colorist says first of all as my delicious paraca was ruby so this nasty viper shall be black and then as the question can i round him off even though he is black and make him slime and yet springing and close down clotted like a pool of black blood on the earth all the same'
# - processed in 133.831 seconds.
# - WER = 0.07
# File (1188-133604-0024.flac):
# - 15.24 seconds long.
# - actual    text: 'nothing will be more precious to you i think in the practical study of art than the conviction which will force itself on you more and more every hour of the way all things are bound together little and great in spirit and in matter'
# - processed text: 'nothing will be more precious to you i think in the practical study of art than the conviction which will force itself on you more and more every hour of the way of things are bound together little and great in spirit and in matter'
# - processed in 86.695 seconds.
# - WER = 0.022
# File (1188-133604-0025.flac):
# - 7.45 seconds long.
# - actual    text: 'you know i have just been telling you how this school of materialism and clay involved itself at last in cloud and fire'
# - processed text: 'you know i've just been telling you how this school materialism in clay involved itself at last in cloud and fire'
# - processed in 41.897 seconds.
# - WER = 0.087
# File (1188-133604-0026.flac):
# - 20.125 seconds long.
# - actual    text: 'here is an equally typical greek school landscape by wilson lost wholly in golden mist the trees so slightly drawn that you don't know if they are trees or towers and no care for color whatever perfectly deceptive and marvelous effect of sunshine through the mist apollo and the python'
# - processed text: 'here is an equally typical greek school landscape by wilson lost wholly and golden mist the trees so slightly drawn that you don't know if they are trees were towers and no care for color whatsoever perfectly deceptive and marvelous effect of sunshine through the best apollo and the python'
# - processed in 113.859 seconds.
# - WER = 0.078
# File (1188-133604-0027.flac):
# - 11.245 seconds long.
# - actual    text: 'now here is raphael exactly between the two trees still drawn leaf by leaf wholly formal but beautiful mist coming gradually into the distance'
# - processed text: 'now here is rough i exactly between the two trees still drawn leaf by leaf holly formal but beautiful mist coming gradually into the distance'
# - processed in 63.49 seconds.
# - WER = 0.125
# File (1188-133604-0028.flac):
# - 19.005 seconds long.
# - actual    text: 'well then last here is turner's greek school of the highest class and you define his art absolutely as first the displaying intensely and with the sternest intellect of natural form as it is and then the envelopment of it with cloud and fire'
# - processed text: 'while then last he returns greek school of the highest class and you define his art absolutely as first the displaying intensely and with the sternest intellect of natural form as it is and then the envelopment of it with cloud and fire'
# - processed in 107.349 seconds.
# - WER = 0.111
# File (1188-133604-0029.flac):
# - 3.705 seconds long.
# - actual    text: 'only there are two sorts of cloud and fire'
# - processed text: 'only there are two sorts of cloud and fire'
# - processed in 21.18 seconds.
# - WER = 0.0
# File (1188-133604-0030.flac):
# - 1.915 seconds long.
# - actual    text: 'he knows them both'
# - processed text: 'he knows them both'
# - processed in 10.975 seconds.
# - WER = 0.0
# File (1188-133604-0031.flac):
# - 4.25 seconds long.
# - actual    text: 'there's one and there's another the dudley and the flint'
# - processed text: 'there's one and there's another the dudley and the flint'
# - processed in 24.45 seconds.
# - WER = 0.0
# File (1188-133604-0032.flac):
# - 10.985 seconds long.
# - actual    text: 'it is only a pencil outline by edward burne jones in illustration of the story of psyche it is the introduction of psyche after all her troubles into heaven'
# - processed text: 'it is only a pencil outline by edward burne jones an illustration of the story of psyche it is the introduction of psyche after all her troubles and to have em'
# - processed in 62.79 seconds.
# - WER = 0.172
# File (1188-133604-0033.flac):
# - 6.625 seconds long.
# - actual    text: 'every plant in the grass is set formally grows perfectly and may be realized completely'
# - processed text: 'every plant in the grass is set formally grows perfectly and may be realized completely'
# - processed in 37.184 seconds.
# - WER = 0.0
# File (1188-133604-0034.flac):
# - 20.905 seconds long.
# - actual    text: 'exquisite order and universal with eternal life and light this is the faith and effort of the schools of crystal and you may describe and complete their work quite literally by taking any verses of chaucer in his tender mood and observing how he insists on the clearness and brightness first and then on the order'
# - processed text: 'exquisite order and universal with eternal life and light this is the faith and effort of the schools of crystal and you may describe and complete their work quite literally by taking any verses of chaucer in his tender mood and observing how he insists on the clearness and brightness first and then on the oar'
# - processed in 118.277 seconds.
# - WER = 0.018
# File (1188-133604-0035.flac):
# - 2.925 seconds long.
# - actual    text: 'thus in chaucer's dream'
# - processed text: 'thus in those dream'
# - processed in 16.504 seconds.
# - WER = 0.4
# File (1188-133604-0036.flac):
# - 7.97 seconds long.
# - actual    text: 'in both these high mythical subjects the surrounding nature though suffering is still dignified and beautiful'
# - processed text: 'in both these him mythical subjects the surrounding nature though suffering is still dignified and beautiful'
# - processed in 45.328 seconds.
# - WER = 0.062
# File (1188-133604-0037.flac):
# - 14.51 seconds long.
# - actual    text: 'every line in which the master traces it even where seemingly negligent is lovely and set down with a meditative calmness which makes these two etchings capable of being placed beside the most tranquil work of holbein or duerer'
# - processed text: 'every line in which the master traces it even were seemingly negligent as lovely and set down with a meditative calmness which makes these two edging capable of being placed beside the most tranquil work of whole bone would dur'
# - processed in 82.373 seconds.
# - WER = 0.179
# File (1188-133604-0038.flac):
# - 5.365 seconds long.
# - actual    text: 'but now here is a subject of which you will wonder at first why turner drew it at all'
# - processed text: 'but now here is a subject of which you will wonder at first what turner drew it at all'
# - processed in 30.406 seconds.
# - WER = 0.053
# File (1188-133604-0039.flac):
# - 6.625 seconds long.
# - actual    text: 'it has no beauty whatsoever no specialty of picturesqueness and all its lines are cramped and poor'
# - processed text: 'as no beauty whatsoever no specialty of picturesqueness and all its lines are cramped and poor'
# - processed in 37.307 seconds.
# - WER = 0.118
# File (1188-133604-0040.flac):
# - 3.23 seconds long.
# - actual    text: 'the crampness and the poverty are all intended'
# - processed text: 'the raptness in the poverty are all intended'
# - processed in 18.317 seconds.
# - WER = 0.25
# File (1188-133604-0041.flac):
# - 10.07 seconds long.
# - actual    text: 'it is a gleaner bringing down her one sheaf of corn to an old watermill itself mossy and rent scarcely able to get its stones to turn'
# - processed text: 'it is a gleaner bringing down her one sheaf of corn to an old water mill itself mossy and rent scarcely able to get its stones to turn'
# - processed in 56.58 seconds.
# - WER = 0.074
# File (1188-133604-0042.flac):
# - 2.66 seconds long.
# - actual    text: 'the scene is absolutely arcadian'
# - processed text: 'the scene is absolutely arcadian'
# - processed in 14.977 seconds.
# - WER = 0.0
# File (1188-133604-0043.flac):
# - 4.885 seconds long.
# - actual    text: 'see that your lives be in nothing worse than a boy's climbing for his entangled kite'
# - processed text: 'see that your lives be in nothing worse than a boy's climbing for his entangled cite'
# - processed in 27.665 seconds.
# - WER = 0.059
# File (1188-133604-0044.flac):
# - 18.545 seconds long.
# - actual    text: 'it will be well for you if you join not with those who instead of kites fly falcons who instead of obeying the last words of the great cloud shepherd to feed his sheep live the lives how much less than vanity of the war wolf and the gier eagle'
# - processed text: 'it will be well for you if you join not with those who instead of kites fly falcons who instead of obeying the last words of the great cloud shepherd to feed his sheep live the lives how much less than vanity of the war wolf and the gerig'
# - processed in 104.486 seconds.
# - WER = 0.04
# File (121-121726-0000.flac):
# - 8.46 seconds long.
# - actual    text: 'also a popular contrivance whereby love making may be suspended but not stopped during the picnic season'
# - processed text: 'also a popular contrivance were by love making may be suspended but not stopped during the picnic season'
# - processed in 48.071 seconds.
# - WER = 0.118
# File (121-121726-0001.flac):
# - 5.925 seconds long.
# - actual    text: 'harangue the tiresome product of a tireless tongue'
# - processed text: 'he ran the tiresome product of a tireless tongue'
# - processed in 33.112 seconds.
# - WER = 0.25
# File (121-121726-0002.flac):
# - 4.41 seconds long.
# - actual    text: 'angor pain painful to hear'
# - processed text: 'anger painful to her'
# - processed in 24.728 seconds.
# - WER = 0.6
# File (121-121726-0003.flac):
# - 6.755 seconds long.
# - actual    text: 'hay fever a heart trouble caused by falling in love with a grass widow'
# - processed text: 'hay fever a heart trouble caused by falling in love with a grass widow'
# - processed in 37.863 seconds.
# - WER = 0.0
# File (121-121726-0004.flac):
# - 4.02 seconds long.
# - actual    text: 'heaven a good place to be raised to'
# - processed text: 'heaven a good place to be raised to'
# - processed in 22.725 seconds.
# - WER = 0.0
# File (121-121726-0005.flac):
# - 3.1 seconds long.
# - actual    text: 'hedge a fence'
# - processed text: 'hedge a fence'
# - processed in 17.293 seconds.
# - WER = 0.0
# File (121-121726-0006.flac):
# - 3.895 seconds long.
# - actual    text: 'heredity the cause of all our faults'
# - processed text: 'heredity the cause of all our faults'
# - processed in 21.967 seconds.
# - WER = 0.0
# File (121-121726-0007.flac):
# - 6.73 seconds long.
# - actual    text: 'horse sense a degree of wisdom that keeps one from betting on the races'
# - processed text: 'for sense a degree of wisdom that keeps one from betting on the races'
# - processed in 37.746 seconds.
# - WER = 0.071
# File (121-121726-0008.flac):
# - 4.99 seconds long.
# - actual    text: 'hose man's excuse for wetting the walk'
# - processed text: 'how is man excuse for wetting the walk'
# - processed in 27.599 seconds.
# - WER = 0.375
# File (121-121726-0009.flac):
# - 7.26 seconds long.
# - actual    text: 'hotel a place where a guest often gives up good dollars for poor quarters'
# - processed text: 'hotel a place where a guest often gives up good dollars for poor quarters'
# - processed in 40.595 seconds.
# - WER = 0.0
# File (121-121726-0010.flac):
# - 9.81 seconds long.
# - actual    text: 'housecleaning a domestic upheaval that makes it easy for the government to enlist all the soldiers it needs'
# - processed text: 'how cleaning a domestic upheaval and that makes it easy for the government to enlist all the soldiers at needs'
# - processed in 55.464 seconds.
# - WER = 0.222
# File (121-121726-0011.flac):
# - 4.035 seconds long.
# - actual    text: 'husband the next thing to a wife'
# - processed text: 'husband the next thing to a wife'
